course_id,streng_weak_improv
97324,I think that I enjoyed the less amount but more higher thinking homework that was assigned I think that at times though the lectures were boring and if there was a way to make it more engaging that would improve the course.
97324,The strengths of this course were that it really had great information on how court cases and certain events shaped the idea of education in America. The weakness was that the grade was a little bit harsh.
97324,Poorly organized lectures seemed to bounce around.
97324,I think a lot of people didn't take it seriously enough and also the group projects were difficult because the work load was incredibly unbalanced
97324,I think the strength are professors jaynes lectures. He is an interesting lecturer and keeps everyone engaged but I think the group assignments are difficult because the groups are assigned and they do not change for the whole semester so it is difficult to keep working with the same people especially if some do not pull their weight as much as others.
97338,"The show is excellent; the content of lectures seemed nearly pointless. Many classes ere cancelled, and there was very little substance in lecture."
97338,strengths: the show is super interesting
97338,Strengths: you get to feel productive about watching TV Weaknesses: there's no real intellectual substance to the course. The Prof pretends it's a social science class but it's not. You're just watching the show.
97338,I think that this course could be a little more organized and go into more depth on the topics discussed. I also think that the social science concepts we learned should have been tied more to the show.
97338,"Better slides, better lectures, better guest speakers, more attention paid to the show, better TAs."
97338,i think the class could have been better organized to connect the topics we learned about more directly with the show. felt like it was 2 different classes when we talked about the show vs when we talked about any other theories
97338,N/a
97338,"None, this class was great"
97338,"Strengths: interesting topics and connections between The Wire and the real world Weaknesses: disorganized syllabi, and lectures that often were tangentially related"
97338,The final paper was so boring and convolutedhonestly a letdown for such an interesting course. I wanted to explore something in a more nuanced/less formulaic way.
97338,"The show was so good. Sometimes the readings felt a little tangential to the show though. Also, my section did not have great discussion."
97338,The strengths are the Professor is very clear and thorough during lecture. The lectures really help to clarify and expand upon the course readings and materials. Professor Harris is also very accessible and charismatic.
97338,"Once again, The Wire is great. I liked my TF and our section  The class is terribly organized. We learn almost nothing of substance and there is little or no reason to go to lecture. And, indeed, even if you did want to go to lecture, 10% of the time you couldn't because it was cancelled. I am actually astonished by how many class sessions were cancelled or not held this year. I have never before taken a course where upwards of 5 class sessions were cancelled and the professor did not even attempt to make them up. But truly, it did not affect the class because we learned absolutely nothing.   This class being allowed to run makes me question the oversight provided by this university."
97338,Inconsistent grading
97338,"I think the concept for this course is incredibly strong, it is wonderful to apply the social science research and reasoning concepts I've learned to this show, and to learn more about Baltimore through this depiction. I do wish we talked about the show itself more, especially in lectures. Lecture content felt a little detached from the content of the show"
97338,"Very well organized syllabus, concepts are explained thoroughly in class"
97338,"This course has a great structure through the show The Wire. The approach to analyzing the show was excellent, as was Professor Harris' teaching and knowledge of the course material. The only area for improvement would probably be in the course readings. Given the time commitment from the show, there were weeks that could have perhaps benefited from one less reading that week."
97338,The show is great. Section was great. Assignments were fair and manageable. Lecture was horrible so obvious that Harris just reads from a reused script and doesnt actively think about the connection of social science to the specific scenes of the show.
97338,"The main way I think this course could be improved is changing the lecture content. It felt like there was a missing link between the lectures and the show. The lectures talked about broad concepts like the War on Drugs, but we never dug into how The Wire depicts the War on Drugs and the ways in which these depictions were accurate or not. It almost felt like The Wire was treated as a documentary demonstrating concepts like the War on Drugs and Mass Incarceration, but of course, the show is a dramatization, so I was always let wondering about how accurately the show reflected real-life dynamics, especially with regards to police department culture. There is so much rich content in The Wire to discuss, so it was disappointing that the lectures did not really engage with the show."
97338,"This class has a lot of weaknesses.  Lectures were incredibly weak and we barely learned anything. We covered the same topics multiple times, and we moved so slowly that it was almost impossible to pay attention. There are so many other topics that we could have covered- there was no reason that we had to talk about so few topics throughout the entire class. Talk about the politics of education and the problems with our modern education system! Talk explicitly about police corruption! We could have covered homelessness and legal protections (or lack thereof) there. We could have tied New Haven city politics into it! There are so many topics that could have been considered related to the Wire. The lectures have no citations that aren't the few assigned readings, and so we get no breadth of knowledge. I hardly know what I even learned. There are so many interesting topics in city politics and so few were even covered.   We should NOT be watching all five seasons of The Wire. Making other seasons optional? Amazing! Cutting filler episodes and having us read summaries or watch summarized episodes on Youtube? Much better? Watching FIVE SEASONS of The Wire means watching 6+ HOURS of TV a week, on top of readings and podcast episodes. I would have rather had that many readings.   The assignments were also poorly designed. The pop quizzes were not enjoyable. I don't even really mind pop quizzes that much! However, they felt POINTLESS. We had one where we had to design a theoretical political science study based on The Wire, which was only difficult because THE WIRE DIDN'T HAVE ENOUGH GOOD EXAMPLES TO COVER. Any of us could have come up with a million non-Wire related examples. We shouldn't be treated like middle schoolers. This isn't even a complete intro class!! Cover study design in ten minutes and move on- we've understood the scientific method since we were kids. Some other assignments were timed when they really shouldn't have been. They would have been much better when treated like Psets or short essays- give us a due date, but don't rush us to write down whatever we can find in a short period of time. No one enjoys timed essays and few people do good work during them. The final essay was also terrible to write! We had to pick one group of characters from The Wire and explain how two social science topics covered in class would help them achieve a goal. However, we HARDLY COVERED ANY SOCIAL SCIENCE TOPICS IN CLASS THAT WOULD EVEN BE RELEVANT. We even made a list of them in Section and there were VERY, VERY FEW. This made it extremely difficult to create a topic for the essay, and no one I talked to was happy about the essay that they did write. This felt like a high school class in a bad way.   In short, this class would need to be entirely restructured to be an enjoyable, useful course for any students to take."
97338,"Strengths: Interesting topics, interesting class format (framed by a famous tv show), good selection of readings   Weaknesses: High workload (too many episodes per week) made it hard to keep the class engaged, lectures were also unorganized at times"
97338,"The course is generally quite strong. The wire itself is great, and watching the show is made more interesting by thinking about the concepts from class. I thought that lectures were quite good as well, but maybe could have been more engaging. I think that one way this could be improved is if there was a more narrative twist on some of the political science concepts that felt a little bit dry at times."
97338,"I would say that one of the weaknesses of this course is that we have so many readings to complete on top of watching 4-5 hour long episodes while attending lecture and discussion. It would be better if maybe there was 1 reading that was assigned per lesson because we have to write summaries of each episode and lead a discussion. Since watching the show alone is such a time commitment itself, I wish there was a way to even things out more."
97338,"Strengths: The Wire is a phenomenal show and the final essay encourages students to think deeply about the themes in the show and relate them to social science concepts.  Weaknesses: The structure of the class and lectures. I found that the lectures often summarized the events from the show and the readings, which took away from time where we could discuss the social science concepts and disincentivized students from doing the work outside of class. With this additional time, the lectures could have talked about a new application of the topics from the readings or show. A few ideas I had would be to discuss events from the Wire that happened in real life in Baltimore or other cities, how national policy intersects with local policy, what factors determine childrens outcomes, the history of drug organizations, media standards and the changing role of the media, and how the War on Drugs has impacted U.S. policy internationally."
97338,"Strengths: the show is amazing Id recommend it regardless of whether you take the class  Weaknesses: the lectures are somewhat boring, redundant, and unhelpful"
97338,"The show is very interesting, and I liked watching TV for my homework. The midterm and the final were very reasonable, and my section really helped clarify concepts. At times, the readings and episodes combined were a little overwhelming. Lectures are easy to follow."
97338,"A strength of the course is how academic material is introduced through the show which makes it more engaging. The course could be improved by having the class and sections meet more regularly which would have made me feel more engaged with it. Sometimes, we moved through units quickly and it would have been nice to think about some material more in-depth."
97338,"Its a little hard to keep up with the episodes if you fall behind, but Professor Harris is a gem!"
97338,"Weaknesses: Lots of homework, unannounced quizzes, easy to fall behind, long final essay Strengths: Easy/straightforward midterm, two unannounced quizzes dropped, you'll likely know a good amount of people taking the course"
97338,The course was great there were no weaknesses and everything was reasonable.
97338,"I thought that there were too many readings/episodes assigned per class which often lefts students (I talked to many) picking between either watching the show or doing the readings. I think that if the work per day was more feasible, there would have been higher levels of engagement."
97338,"Strong course throughout, good show, readings werent too dull."
97351,I loved this class! Professor Roberts is an amazing lecturer.
97351,This course is very forgiving and understanding. Everyone treats each other how they desire. It is completely designed to allow students to succeed.
97351,"This course was wonderful! Professor Roberts is so kind and a great lecture, and all of the teaching fellows were amazing."
97351,n/a impossible
97351,"This course was everything that people say a really unflinching look at American history that makes some really powerful connections to the present. Even for people who know a good amount about racism, slavery, and health care, the course is still a valuable way to synthesize all of the information in a new light. I found the readings to be very helpful and relevant and appreciated the course's focus on learning, not grades.   My only complaint is that the course often ran over time and the lectures often seemed geared towards a longer time period than the 50 minutes allotted."
97351,"In this class, you're a person before you're a student. It's understood that students should prioritize sleep and their own well-being. This should be the default for ALL Yale classes, not something unique to this one."
97351,Professor Roberts is one of the most engaging lecturers I have had at Yale. Every lecture was extremely meaningful and informative. I think this is a course that everyone should take before graduating. I truly have no suggestions for improvements for this course.
97351,overall good
97351,Engaging professor
97351,"This course was amazing. Professor Roberts is a brilliant lecturer and incredible person. Each lecture was shocking, disturbing, and so engaging. Professor Roberts sturctures this course to facilitate true learning instead of memorization which is very refreshing."
97351,"strength - professor and TFs and all the extra resources and events to get involved in weaknesses - people could get by in the class without coming to class or engaging in any of the material at all, but again its also a strength of the class that students get to choose their level of engagement based on what other things they have going on in their lives"
97351,"No weaknesses! Overall, a great course that I think every Yale student should take-- we need more classes like this that discuss these important issues that are not talked about"
97351,"I loved the professor but I think that this course could have been more accessible. I think that having lectures recorded is extremely helpful, especially if I needed to miss a class for certain reasons and did not have anyone to provide me notes."
97351,"strengths: engaging and thoughtful professor who cares so deeply about the material and the students. every lecture feels like a gripping movie, material and readings are fascinating without being overwhelming  weakness: sometimes feel like we missed important material or lectures felt a little short"
97351,"Strength - amazing content, Professor Roberts gives great lectures, if you do the assignments you will be okay, TAs are really nice and helpful, and the assignments are spaced out perfectly. Weaknesses - there's not a lot of grade transparency throughout the course in terms of what is completed/ what is for a grade."
97351,"Strengths: The course creates a good family. The course also teaches things that are rarely taught in school. Professor Roberts is one of the sweetest women to walk the planet Earth, and she was a real highlight of the course.  Weakness: The guest lectures were really hit or miss. The lecture given by Dr. Amanda Calhoun was very divisive and added very little to the context of the course. Her language was hostile, and I simply was not a fan of her lecture (or her mini-lecture at the beginning of the course). The other guest lecturers were great! However, I wish Professor Roberts just taught every class."
97351,There were no weaknesses to this course.
97351,honestly... cant think of any weaknesses. Was such a great class.
97351,"There are absolutely no weaknesses. This course is structured beautifully, and Dr. Roberts was one of the best professors I have had at Yale."
97351,"honestly it was so good, i loved the personal stories that were shared throughtout"
97351,"Strengths: - Dr. Roberts is such a caring, intelligent, sweet professor, and she really cultivated a community of care and love in the teaching fellows as well as among the students - The assignments all felt purposeful, and I liked the freedom to explore the topics that most interested me - I also loved the guest speakers and how we got to hear a range of voices and experiences!  - I appreciated that the emphasis of the class was on learning and discussing the material, not on earning a grade -- I think that this fostered more interesting conversations and allowed me to fully jump into topics that were most engaging to me Weaknesses: - Sometimes the lectures seemed to lack a chronological structure throughout the course of the year, and I would've liked a bit more of a clear roadmap throughout history  - It was also sometimes hard to listen to the material of the class, which makes sense, and it is important to hear it even if it is hard. But I would've appreciated a greater emphasis on the questions ""what can I do with this information? what not? how can I apply these lessons in my personal life?"" earlier in the semester -- we got to them eventually, but the first half of the semester was often disheartening in that regard"
97351,Major strengths included the community this course created. I always looked forward to going to lecture and section and this was because of how Professor Roberts was so engaging and truly cares about all of her students and teaching fellows. I also appreciated the structure of the course.
97351,Strengths: Incredibly engaging lectures and discussion sections. Weaknesses: No real weaknesses I wish the lectures were longer they flew by and I wanted to know more.
97351,"Strengths: Prof Roberts and her teaching staff, organization of course projects and respect for students' mental healths, phenomenal lectures (Roberts and guest lectures). Weaknesses: none"
97351,"Weaknesses: none Strengths: excellent professor, content was incredibly relevant, engaging, as were the readings. TFs were equally engaging, and the discussion sections truly did lead to (non-forceful) discussion, unlike many sections I've had in other courses."
97351,"This course is perfect - from its emphasis on student learning as opposed to perfection to its focus on Black health disparities and their historical roots, there is nothing I would change."
97351,"This class is one of the best classes I have taken at Yale. Each lecture and Weekly Missive were written with care, compassion, and passion. I was inspired to learn every week. The format of the lectures were incredibly engaging and the PowerPoint notes were very helpful at orienting students. I cannot think of anything that can be improved."
97351,"Strengths: Professor Roberts is the most amazing instructor I'll ever have at Yale, lectures were very engaging, interesting, and well-taught, the TF's were the most amazing people, Prof. Roberts did an amazing job handling sensitive material, and this class is truly the best learning experience I could have had at Yale. Weaknesses: none!"
97351,"This class was amazing, and I would not change anything (other than maybe shortening the length of the Monday Missives). Even though it was a large class size, there was a solid sense of community. I looked forward to coming to lecture every week and found the readings to be extremely interesting and engaging. Sometimes at Yale, it can be easy to feel like what you are learning isn't applicable outside of the classroom. However, everything that I learned in this class will affect my life going forward."
97351,Everything about this class is perfect. Nothing about this course could be improved. I only wish there was more.
97351,"Only strengths. Great guest lectures. Great contextualization of African American health throughout history and hopefully looking toward solutions for the future.   No weaknesses. But 50 minutes was often too short for this amazing class. There should also be no enrollment cap if possible. Everyone needs to take this course, it's so important."
97351,"The only weakness that this course has is that there is only one Professor Roberts and that she is constrained to 2x a week 50-minute lectures. I could listen to her lecture for eons. Her background in theater gives the some of the absolute best lectures I have ever had.   The strengths include (but are not limited to): her pedagogy and outlook on student participation, which requires students to set their own goals and grade themselves, her ability to engage a giant lecture hall, her weekly Missives that literally are half the length of a senior thesis, her kindness and compassion, and her syllabus. I have never seen a more beautiful and all-encompassing thesis."
97351,Strengths: Professor Roberts and the TAs. They worked hard to create an open and welcoming classroom environment as well as foster academic and personal growth inside and outside the classroom.
97351,"This was an amazing course. I lecture slides were very organized and understandable, they were easy to follow as Professor Roberts took her students on a journey through history. The lectures were deeply engaging, I never felt bored and I wished they were longer so that Professor Roberts could fit all of her information in! She held the attention of her audience so well and for so long. When Professor Roberts paused you could hear a pin drop in the room. I loved the guest speakers that professor Roberts brought in, it was so interesting and inspiring to hear what other medical professionals are doing with this important history. Each Teaching Assistant was so passionate and deeply engaged in the course content. This made discussion sections engaging and important as the TAs helped their students digest this heavy information."
97351,"There are no weaknessesonly strengths. Amazing lecture topics, amazing professor, and amazing TFs."
97351,Dr Roberts innovative teaching style helps students learn in a way that is engaging and the content is digestible. This course truly changed my outlook on so many aspects of society specifically discrimination in medicine. I cannot think of a way this class could be improved. Only that it would be great if it was taught every semester.
97351,"There are so many strengths of this course: Professor Roberts' care and compassion, her lecturing style (literally the best lecturer at Yale), the assignments that gave us the flexibility to pursue our interests related to the course, etc. The only weakness that comes to mind is the reflection component of the course. We wrote three participation reflections, a final project proposal, and a cover page reflection on our final project. While I totally understand and agree with these assignments, I sometimes felt like I was being a little repetitive simply because there were a lot of opportunities for written reflection. I wonder if there is another way to get to the core of this assignment because I do feel like the reflection component is very importantmaybe instead of a written reflection at the midterm, future students can meet with their teaching fellows and talk through their participation goals in a more casual format (I'm not sure this is possible given how large the class was this semesterbut just a thought). Or maybe instead of writing a final reflection and a final project reflection, future students can combine those assignments into one? I'm not sure. This is obviously a super small weakness that didn't whatsoever take any joy out of the class."
97351,"All strengths, no weaknesses."
97351,"This course was nothing but strength. All STEM majors should this course. It truly dives into the dichotomy that STEM, specifically medicine, have with political and social views. Not only does this class help people better understand the issues that Black people haves faced and still face in America, but it challenges each and every lecture attendee to reshape their perspective on racial and social issues regarding medicine and in the general social sense."
97351,"Strengths: The teaching team - Professor Roberts and the TFs - are so, so wonderful and very clearly care about you as a human being first and foremost. Professor Roberts is one of the best lecturers I've ever had. I think the fact that I willingly made the trek up to Marsh every lecture is very telling. Must take! Weakness: I think that having class in a lecture hall closer to central campus would help make it more accessible!"
97351,"Very good set up. There were assignments, but the focus of the course was to be engaged, and show up to lecture. Less pressure on assignment grades helped me stay more focused with the course, and enjoy it and learn!"
97351,No weaknesses. This is a great course!
97351,Strengths the most interesting and engaging class I have taken at Yale.
97351,"strengths: professor roberts is the best person on earth weakness: literally none, this class is perfect"
97351,"Prof. Roberts is an amazing lecturer, her TF team is great, and the readings are incredibly eye opening."
97351,"stengths -- an amazing lecture, engaged audience, emphasis on student learning rather than grade  weakness -- sometimes information is hard to find in the comprehensive Monday missives (maybe separating assignments and readings into two different emails)"
97351,Roberts and the TFs are wonderful and caring. They know the material very well and are able to communicate it clearly. All the assignments being pass/fail with an option to resubmit was also a way to compel students to engage with the course in a low-pressure way.
97351,"The course embodied the spirit of love, compassion, and intentionality. Professor Roberts and the entire teaching team brought so much care to the class and I would not change a thing about it."
97351,Great staff and focus on introspection. Really feel like I grew this semester.
97351,"This course is the most powerful class I've taken at Yale. The class is so well structured, and the content is so important. Every student should have to take this class."
97351,"Professor Roberts and the teaching staff are some of the biggest strengths of the course. They all care deeply about each student's learning and personal growth throughout the course. I wish we had deeper discussions during section about the topic of the week or the readings. Additionally, I wish there was more of an opportunity for direct engagement with course material during discussion section, but overall there is not much I would change about the course."
97351,This course is excellent.
97351,"This course is incredible! Every assignment except for your final exam is graded Complete/Incomplete to encourage a healthy relationship with coursework and the investment of good faith effort without stress over grades. I love how this lowered the barrier to entry to a course that teaches such important material. Despite this being the biggest class at Yale College, there were multiple support systems in place to support students in their learning and in their lives. The lectures were amazing, and the assignments felt worthwhile (if anything, I think the lesson plan felt a bit out of place and wish we had been able to write the op-ed instead, although I know that was an unforeseen circumstance). I only wish this counted for the MCDB major to encourage more pre-med students to take this fantastic course!"
97351,"Strengths: It's really well-balanced! Lectures were related to the readings, but never delved into them, expecting students to do the readings which would supplement the lecture. There was a lot of time spent on self-reflection and introspection, which meant there was always time to think about what students wanted from the course. Assignments were well-devisedone essay on a close, critical reading of any one of the readings; an op-ed (which got canceled, but I still thought was really cool); and a final project, which could be anything!   Weaknesses: I can't think of any!"
97351,The class was phenomenal and structured for you to get what you want to and need to out of it! It was a very transformative and engaging class! I have very rarely been in a class where I felt I have had the full ownership and agency to apply and learn the material in a way I find useful and applicable to my discipline and knowledge. And I appreciate how in this class I have been able to do that with the final project and the lesson plan assignments. And Prof. Roberts does an amazing job of getting you to reflect and find meaning int what we are learning!! Absolutely amazing!! I loved it very very much!!
97351,This course was great. Professor Roberts' lectures were very engaging. I also appreciated the guest lectures.
97351,The strengths of course were the teaching team and Professor Roberts. All of these individuals contributed to a unique and unforgettable course experience. They were understanding and provided guidance if needed. There were no weaknesses of the course.
97351,This course is exceptional because of the amazing work Professor Roberts has done; her investment to the course was incredible. The course also had insightful readings and assignments that encouraged students to pursue their interests.
97351,"Strengths: All of the topics covered, the professor, the TAs, the focus on learning rather than achieving a grade."
97351,I thought the lectures were extremely engaging I just sometimes wished they were longer.
97351,The strengths is how well-rounded the curricula and content was. We learned about so much in so many different areas. The weakness was that sometimes I feel we didnt do enough critical work.
97351,"Strengths - Professor Roberts is the best Professor Ive had at Yale. She is everything that makes this class so wonderful - brilliant, funny, and deeply compassionate toward her students.   Weaknesses - this class is known for giving all students an A. While it was a well-intentioned effort to eliminate student worries about grades, this meant that many people in the class skipped the required readings, treated attendance at lecture as optional, and sometimes failed to complete their discussion section assignments/posts. This is not a class where a lenient grading system should be so wrongfully abused. The lecture and reading material is too important and I feel it didnt get the respect from all 500+ students in this class that it deserved this semester. By proxy, I felt that Professor Roberts did not receive the respect as an educator that she deserved. I fear students took advantage of her compassion and care with the grading policy."
97351,Very good lectures and learning space
97351,This course was taught incredibly well and was deeply engaging. The only way I would say to improve it would be to have more specific questions to respond to in the discussion posts to facilitate more focused conversations in section.
97351,"strengths:  - lectures were absolutely incredibly delivered and very well organized  - environment was positive and fostered student care and success - professor did a great job of placing the material within its proper historical context and drawing out connections between the past and the present  weakness:  - while the technological issues were very endearing, they sometimes unfortunately did take away valuable class time. I think Professor Roberts may want to consider having one of the TAs serve as a technology assistant for this class"
97351,The TF system was very nice to have and constantly checking in.
97351,Dr. Roberts is an amazing lecturer! Every class felt like a TedTalk and was intellectually engaging.
97351,"strengths - great teacher, content that everyone should know, class community weaknesses - none"
97351,wonderful lectures and fascinating readings. lots of creative freedom
97351,"The strengths of this course are definitely the lectures. Professor Roberts is wonderful. Although I wish she had delivered the material with a slightly heavier hand and faster pace, I found them engaging and informative. The readings were absolutely perfect. They were not too long and supported the lectures. One suggestion I would make would be to remove the grading system. I understand the intent, how very, I think the idea of a guaranteed a created an environment among the students that caused them to take the class less seriously. With such serious course material, I feel like student engagement should be of the utmost importance, and I think the grading did not support that."
97351,"Professor Roberts is an amazing lecturer; super caring and incredibly knowledgeable about the subject. Personally, I found the first half of the semester, when we focused more on history, more engaging than the lectures about the modern healthcare system -- maybe because I was less familiar with the historical material."
97351,"This course was fantastic! The professor covered so much meaningful content in each lecture and the course was well organized to facilitate student learning. Our discussion posts and assignments throughout the year allowed us to critically engage with the course material and produce work that was meaningful to us. From the essays to the projects, I really felt that each assignment allowed me to dive deeper into the course material and learn about so many interesting aspects of race and medicine."
97351,"Professor Roberts is an extremely engaging professor and the way she handled our course material was very admirable. I think something can definitely be said about the fact that she was consistently able to keep the attention of a packed Marsh Lecture Hall. Personally, I do not feel that this course has any notable weaknesses."
97351,Carolyn Roberts is the best teacher on this campus. There is really nothing that I would say needs to be improved about this course. It is amazing.
97351,"Strengths: Compassionate, thoughtful professor who truly cares about her students' wellbeing, as shown by the lengthy weekly missives and abundance of readings (and supplemental readings) available for discussion. Weaknesses: Some of the readings and lectures felt repetitive, as it wasn't clear why very related topics (for instance, on reproductive justice) were disconnected into different lectures."
97351,Excellent class with incredible course staff
97351,"The strengths of this course lie in the professor. Professor Roberts is so knowledgeable, caring, and approachable. She cares about all of her students and make an effort to get to know each and every one of them. The way she communicates the material is another strength of this course. It's a shame that the university is not allowing Prof. Roberts to flourish in who she really is."
97351,"Strengths: interesting course content, caring Professor and course staff  Weaknesses: feeds into performative woke culture at Yale in a way that, at times, gets in the way of the work its trying to do"
97351,"There literally are no weaknesses to this course at all. The way the course is structured, it allows you to set your own goals that you wish to aspire towards during the semester and do the course on your own terms. Obviously, it is crucial that you adhere to the good faith effort policy, which really brings the course together in my opinion, and facilitates a productive and supportive learning opportunity."
97351,"A must take! Recordings of the class could have been provided upon requests for accessibility needs. That was one thing the course was lacking, even given the want for people to come in person. I think thats still important."
97351,This was easily one of the best classes I have ever taken. Professor Roberts is one of a kind and an amazing educator and person. There was no weakness at all.
97351,"This course only had strengths. The lectures were engaging and easy to follow, the professor was amazing, the TFs were amazing, and the assignments were interesting. This course also created a wonderful community, and students were valued as their full selves. The course content is necessary for all undergraduates to engage with."
97351,"Strengths: Professor Roberts is an incredible lecturer, professor, human being, etc. I really enjoyed how the course was structured, encouraging us to be conscious of how we could be show up for ourselves."
97351,"I like the support systems in the class, and how the staff put in efforts to make everyone feel loved and cared for."
97351,"It was an amazing class, but probably meant more for people who dont experience what is taught in the course in their daily lives"
97351,"Strengths: Dr. Roberts is an amazing lecturer, the course is interesting, the topics are important, everything is amazing"
97351,"Strengths: clearly outlined readings, TAs were amazing, low academic pressure (emphasis was on what you were learning), knowledgeable guest lecturers Weaknesses: sometimes felt the course was too passive"
97351,"Strengths -- Flexible assignments (so as to maximize meaningfulness to students), good balance of breadth and depth, incredible teaching team  Weaknesses -- None!"
97351,"I loved loved loved this course. So interesting, we covered a plethora of difficult subjects and delved into niche yet so important conversations."
97351,"I honestly cant think of any weaknesses. This course was so well thought out. The lectures are so engaging that I never felt the time pass, and the readings were carefully explained each week and it was clear that all of the assignments had a specific objective related to the class."
97351,"This course is an absolute must-take. The lectures are fascinating, sections enlightening and well structured, and Dr. Roberts is an absolute gem of an educator. Assignments feel purposeful instead of the busy work we often get in other classes. To be honest, I have no notes."
97351,"Lectures were highly engaging and thought provoking, section was good"
97351,"This course is AMAZING. PLEASE TAKE IT. In a sense, this course is its own small experiment. Professor Roberts uniquely grades according to good faith effort, meaning that the course is specifically designed to increase presence and intentionality while reducing unnecessary anxiety and mindless note-taking. Given that every concept discussed is deeply heavy, a flexible, effort-based grading system allows students to process the material in whatever way is best for them, and many different formats for assignments are encouraged."
97351,"No weaknesses at all! Everything about this course was PHENOMENAL. An amazing course by wonderful professor, TAs, and guest lecturers who created a safe and welcoming community to learn about difficult topics. The readings are carefully curated each week and supplement the lectures beautifully. Sections with TAs provide a small group discussion section and circles of care that are inviting and comfortable spaces to speak up in. The TAs provide very thorough feedback on each assignment and it is clear that they went over the project in great detail. Professor Roberts holds all day office hours which is a great resource to chat with her about anything at all."
97351,"Strengths: incredible professor with engaging lectures, support from TFs, and interesting readings Weaknesses: I wish we had discussed the readings during lecture as well to give them context; also, I wish discussion sections had focused on readings or course material rather than exclusively discussing our personal experiences and opinions (although also important)."
97351,"This course provided very important information about African-American history that everyone should know. Also, the learning process was prioritized over giving students busy work or making them stressed about grading, which was a valuable experience, considering the serious subject matter. The course covered a wide range of material and at times felt rushed because there was not enough time to deeply dive in to everything covered."
97351,"I think this course is incredibly strong and focuses on student learning over grades and exams. This was one of the sections that I felt students most engaged with during my time at Yale -- since we were free to explore what we were most interested in, we were more willing to discuss and engage with other stuednts."
97351,"Strengths: the incredible pedagogy of Dr. Carolyn Roberts, and the way she worked with TFs to craft sections. The section for this course was one I looked forward to.  Weakness: This class should be longer!!! I often found that moving at the pace we did did not give us enough time to process the material of the course, and I would have loved more time in class."
