course_id,skills
97338,"This course is very theoretical, covering social science concepts like motivated reasoning, the principal-agent problem, and social norms. It has a particular focus on politics at the city level, discussing issues like police violence, institutional hierarchies, and residential segregation. In addition, the course teaches students how to ""think like social scientists,"" interrogating data and causality and coming up with hypotheses and experiments."
97338,"After taking this class this semester, I learned how to think, learn, and interpret data and research findings like a social scientist. I also went into more depth about certain topics that I had heard of- such as the War on Drugs, the HomeOwners Loan Corporation (HOLC) and redlining, residential segregation, Carceral contact, dynamics of the inner city, the drug trade, and so much more. This show is the cream and crop of all crime shows on television because it is the most authentic. It doesnt show the olive and investigators solving every single case they get- in fact, its the opposite. It shows corruption. It shows the misuse of authority. It doesnt make the public view the criminal justice and policing systems in a God-complex manor; in fact- its the opposite."
97338,I learned a lot about the complexities that take place within America's inner cities and the many moving parts that it takes to operate a city. I also learned about new research theories and methods that pertain to inner cities and especially the police.
97338,I learned about the issues facing American cities and how to understand these issues through the lens of social science concepts and The Wire.
97338,The wire is an amazing show you learn a ton about life in underprivileged communities. The class itself is not so inspiring though
97338,I learned about the American city and how institutional structures interconnect and act upon communities of color.
97338,"I developed knowledge of the show and lots of social science concepts that are related to it, like policing and segregation."
97338,Knowledge of how a lot of bigger cities work.
97338,I learned knowledge of how cities work and some of the main social constructs of our lives. I think almost all of the things learned were very important and it was taught in a fun way: television.
97351,I learned so much about African American history and HSHM.
97351,best class Ive taken at yale
97351,Learned about the history and present nature of racism and its interactions with healthcare in America.
97351,"I really enjoyed this course. I learned so much about systemic racism and how that has been implemented in all areas of the world, but especially healthcare."
97351,This class taught me how to critically engage with scientific information through the lens of racial disparities
97351,I learned how much history is intertwined with the world we live in today. I specifically gained a deeper understanding of the institution of slavery and how it intersected with the beginnings of healthcare.
97351,sickness and health in aa history
97351,I learned more about role of medicine in African American History
97351,"How to critically assess scientific facts, thinking about race and medicine, thinking about the history of medical and scientific exploitation, and much more!!!"
97351,Major healthcare issues regarding African Americans dating back to slavery all the way to the present. So many important topics discussed
97351,"I learned about the many, and continuous, disparities that exist in the realm of healthcare, specifically targeting Black Americans."
97351,"Learning about the history of scientific and medical racism in the United States and topics such as maternal mortality, the Tuskegee experiments, and racial algorithms."
97351,"So much about African American history and how it relates to medicine, from slavery to the present day!"
97351,I learned african american history in a medical context.
97351,SO SO much. This course really taught me so much about historical events that were swept under the rug and allowed me to understand how all the events intertwine and connect to impact people of color today. I have come out from this class with a bigger consciousness of my indirect biases and to evaluate situations not just on the surface.
97351,Racism in medicine
97351,I learned a tremendous amount about the historical and present-day implications of racial discrimination in the United States' medical field.
97351,so so much about history and health disparities
97351,"I learned about the racial disparities in healthcare today, as well as its historical context -- the long and messy history of discrimination against African Americans in a medical/scientific setting. We also learned about methods of resistance throughout history, and opportunities for improvement (what we can personally do now and going forwards) to address many of the injustices facing the healthcare system today."
97351,"Learned so much about the history of medicine, specifically about the racism embedded in science."
97351,"roots of healthcare (and other) inequalities, current disparities and how they were built upon the history of slavery, how we can seek change"
97351,"This course will change the way that you view medicine. If you're pre-health or even if you just care about the state of medicine today, take this course. You will be the better for it. There are too many insights that I developed to mention, since each lecture is full of important and relevant historical material."
97351,"I learned more things in this class than I can comprehend or articulate right now. I learned a better, more accurate view of American history and our interconnectedness with history and the past."
97351,"This course provided a comprehensive overview of the history of medical racism, as well as contemporary issues."
97351,"I learned how to reflect on course material and I learned a lot about the history of African American access to healthcare in the U.S. over the span of centuries. This class made me gain a lot of empathy and sympathy, and I feel like I am more prepared now to tackle issues of injustice and discrimination when I encounter them outside of the classroom."
97351,"This class is insane, and I do not think I will ever take another one like it. There is so much intricate history that interconnects with health, societal structures and dynamics, race, and why modern day movements are justified and built on truly saddening and often-times maddening foundations from the salve trade to the BLM movement. It was shocking how little I thought I knew about the material. Each class ended in applause as if it was a bunch of mini-TEDtalks and every applause was deserved."
97351,"The course provides a thoughtful and detailed overview of race and medicine in the US from slavery to the present with strong historical groundings. It traces many threads through history and teaches students to draw parallels, make comparisons, and dive into individual projects on topics of interest."
97351,"The foundations of African-American History from the trans-Atlantic Slave Trade to the present. Professor Roberts provided this foundation for her students so that they can understand how the issues we were facing today in the American society are deeply tied to historical racism. I learned about profound leaders in history and today (the amazing guest speakers) that I had never heard of in my high school education. I learned how deeply intelligent enslaved individuals were, especially in their healing practices, and how history has been distorted to disguise this. This was a refreshing course, I am so grateful to learn the true history, I use this in my life every day."
97351,I learned about the healthcare system in America as it relates to black Americans.
97351,This is a must-take course!! I learned about a history that is so relevant and so often dismissed. I think everyone at Yale should take Professor Roberts' class!
97351,"It's hard to sum up all of the material that I've learned throughout the course of this semester because it's so much and all of it, not deserves, but needs to be shared. I was familiar with a lot of the material in the class yet it felt like I never knew anything at all. Professor Roberts covered a large timeline from before the Transatlantic Slave Trade to modern day and in that she broke down various topics with respect to the era of the material. It was a very conducive method of teaching and very organized from the perspective of a student."
97351,Learned how to think critically about the dark history of the U.S. as well as the racial implications in the medical field. Learned how to be a more open-minded and empathetic doctor.
97351,"I learned about the history of Sickness and Health in communities of color, the (ongoing!) racialization of medicine, and discrimination within the healthcare system."
97351,"I loved this course!!! learned so much, and changed as a person in terms of using my voice to advocate"
97351,I learned about sickness and health in African American past and present.
97351,The affair that race and science have that is not talked about enough
97351,You learn so much about the history of the medical system and the different ways it has continued to oppress people of color. This class covers so much important content from the way slaves were used as human test subjects for medical exploitation to mass incarceration and the racial history of policing. It genuinely changed the way I thought about the world.
97351,The class taught me how much we dont learn about how racist ideologies are so engrained in American society. It taught me about how racism can be deadly in the medical sphere.
97351,"how the institution of slavery affected and continues to affect generations of African Americans, especially in relation to their health -- be that physical or mental"
97351,The history of inequalities in medicine and health and the interconnected factors that contributed to a system of discrimination against African Americans.
97351,I loved this course so much! Best class Ive ever had at yale.
97351,"I know how a great understanding of the deep history of African American healthcare, and medical and psychological violence committed against Black peopke"
97351,I learned about the intersection of medicine and racism.
97351,"We learned about both historical events and modern history that have contributed to the current state of racism. We learned to trace specific events that occurred during the periods of slavery, summer of 1919, the yellow fever epidemic, and many others to particular lines of thinking present today."
97351,"My personal growth happened throughout the semester, as I began to find ways to make small changes in how I understood the medical system. Creating the lesson plan and syllabus allowed me to comprehend how much work it takes to teach any theme in this course, such as racial science, stigma, bias, and racism in medicine, or medical exploitation. In my final project, I tasked myself with discerning how Diversity, Equity, and Inclusion (DEI) initiatives would be best incorporated into the healthcare system."
97351,"I was already somewhat acquainted with Black history before taking this course, but this course taught me about the struggles of Black Americans throughout the country's history on a much more intimate level than I expected. Even as a non-STEM major, the health focus of the course was so interesting; it is mind-blowing to think about how perspectives on Black health changed from slavery to the present. I also learned how to work to my own standard of excellence rather than a professor's, and it helped me gain a much healthier outlook on life as a Yale student. Take this class!"
97351,"I learned so, so, so muchall very, very important things. From the belief that Black people were immune to yellow fever to the racialized aspects of modern day kidney function diagnoses and eGFR, this course showed just how entrenched racism is in the U.S., produced and maintained and operating in the medical system."
97351,I learned various lessons about the history of medicine.
97351,I learned more about the history of the medical field and examined how it has shaped modern healthcare accessibility and treatment procedures. I learned how to improve my writing skills to synthesize historical content with commentary and analysis.
97351,"This course taught me the history of medicine in the United States, specifically its racist origins and how those harmful legacies continue today. The course also taught me the role of academia in perpetuating violent practices and prejudices."
97351,"This course covered so many things I wish I was taught earlier in my education. It focuses on racism in the healthcare system, and covers a huge range of topic within that field."
97351,I LOVED THIS CLASS! I learned so much more about the horrifying history of the U.S.
97351,I learned a LOT about the history of medical racism in the US.
97351,African and Africna American history in the context of health and disease
97351,We learned about the intertwined histories of racism and medicine dating back to the time of the Atlantic Slave Trade and extending into the present day.
97351,Greater understanding of medical racism and its violence against African Americans.
97351,How to think critically about the ways in which Black people have been and continue to be negatively impacted by modern science and medicine
97351,"a paradigmatic shift to my understanding of history, as I now view history as being deeply connected to the present - a strong working knowledge on the history of medical racism in America within the larger historical contexts of the transatlantic slave trade, slavery, Jim Crow segregation (and how all of these persist in structurally racist practices and disparities today)"
97351,It helped a lot in learning about the history of how medicine practices came to be.
97351,learned so much about both the history and present of healthcare in the US with respect to all different kinds of disparities
97351,How past systems of oppression are deeply intertwined with current medical care and sickness and health.
97351,I developed a deep understanding of the relationship between Black people and American medicine and its deep historical roots. This is the most impactful and important course I have taken at Yale. I feel like I have left this class with a new perspective and am so grateful I Ajax the opportunity to take this course.
97351,I learned so much about African American history and medicine! I loved this course so much!!
97351,"By taking this course, I grew to be more informed about the legacy of slavery within the United States, and how that legacy is still very much alive in modern society. I've also become more aware of how biases have permeated themselves into the medical field, and the importance of being vocal about the necessity for change within this country."
97351,"Historical context of the intersection of health, medicine, slavery, and race. I gained insight into current injustices and stories of medical racism that reflect the deep history of U.S. medical exploitation, exclusion, and harm towards people of African and African American descent."
97351,I learned so much about healthcare and how much of it is rooted in systemic racist medical practices.
97351,"This course taught me so much. I think one of the most important things that I learned is the way in which the effects of slavery still persist in so many different fields in our everyday life. I learned to view the world in a much more intersectional, causal way. Nothing about the world is isolated; the past informs the present, housing affects health, etc. In addition to all the academic knowledge that I gained from this class, I also got such a wonderful insight into this utopian way of doing academia thanks to Prof. Roberts and the rest of the teaching staff. It was a wonderful experience being able to take a class on my own terms and I will forever be grateful that I had the opportunity to do so during my time at Yale."
97351,"This course has taught me that long hidden history of African Americans' contributions to the medical field, both willingly and unwillingly. It's a brutally eye-opening course that Dr. Roberts takes care to guide you through with the intent of understanding why there continues to be disparities in health outcomes between Black and other race patients. This history is absolutely necessary to know for anyone going into the medical field, and it is an important lesson in developing empathy for your patients."
97351,We learned about the history of racism and how that has continued to create inequalities in healthcare and society.   We also learned to have challenging conversations and to challenge our own personal bias and beliefs.
97351,"I learned about medicine and race, and I learned about many aspects of American history that are not covered in a typical US history class in high school. A specific line that I will take with me beyond this class is that history is necessary to understanding the present. Every issue of inequality that exists in society is a result of the history of this country, and until everyone learns the true history, perfect/all-encompassing solutions to these issues will not be found. Slavery and"
97351,I gained a good understanding of slavery and lives of enslaved people in Americas in the past.
97351,Untaught history and treating history and learning with immense care
97351,A lot about history that I didnt know.
97351,How Black people were used throughout history in the medical field and the structural racism that exists in the field today
97351,"Learned how to critically analyze historical documents, learned so much about how racism lends itself to poor health outcomes in minority communities, and left motivated to change the medical system"
97351,I learned a lot of deep insight about the history of African Americans and how it ties into health systems both today and of the past.
97351,"I learned about the history and present day impacts of medical practices as they relate specifically to Black Americans. This course taught me parts of history that I had never been taught before, but are extremely important to understanding our current world."
97351,A deep understanding of African American history through the lens of science and medicine. Insight into the sobering reality of present day American healthcare.
97351,Learned about African American history in the United States and related health issues
97351,"This course overviews racial disparities and inequities in the healthcare system by tracing the ways in which they are deeply rooted in the aftermath of transatlantic slavery. Guest speakers are additionally invited to give personal, anecdotal stories of injustices that they have experienced in the medical field. Ultimately, this course is about racism and the ways in which historic and present transgressions are deeply entwined."
97351,"Learned about the history of racialized medicine, how science is not objective but rather steeped in bias, ways of resistance and countering ones own biases."
97351,Understanding of African American history since slavery
97351,"I learned about how various systems, events, and biases throughout the history and present of the United States have impacted the health of African American people."
97351,I learned to think critically about biology and the medical field to examine how racism has been woven into our healthcare system.
97351,The history of health and slavery
97351,"Overall I gained lots of insight into how African Americans have been treated by doctors and the healthcare system throughout history, all the way from the slave trade up until the present day. Rote memorization fo specific dates, names, and other historical facts was not heavily emphasized, but I definitely came away from the class with a much better general acknowledgement of how Black people have historically been taken advantage of and exploited by the medical field."
97351,I learned so much about the history of slavery in America and how many health practices were initially tested on African Americans. I was also relieved to learn how systemic barriers for Black people actually formed over time in the U.S.
97351,"This course is an amazing re-education of U.S. History, telling largely forgotten stories from the perspective of Black Americans. More than anything, it teaches students to interrogate dominant narratives of history, and to remember them so that we can make the future better."
97351,I learned the history of medicine and science in the context of race and gender. So much of this course opens your eyes to things you never even considered to be linked to some well known figures and events in history.
97351,I learned so much in this class about the empowerment and historical exploitation of Black bodies that I did not know before.
97351,I learned a lot about black history which is a history I had not truly delved into before.
97351,"About the history of black people's role in medicine, including how they have been terribly mistreated, examples of advances black people have made without getting recognition, and how we can have a role in remedying the existing racism seen in the medical field."
97351,"I learned about the true and authentic history of American medicine, and how it originated from the exploitation and maltreatment of black people."
97351,"I learned more about the racial health disparities in this country, both historically and currently."
97351,I learned a lot about African American history in regards to the medical field.
97351,Gained an in-depth understanding of the history of oppression in Americas health system.
97351,Learned about the history of our medical system and how African Americans have played a role in medical research and experimentation and the inequities that we still face in our medical system.
97351,I learned about the history of medicine through the perspective of African Americans and the hidden history that is not normally talked about.
97351,"I cant really sum up what I've learned in this course. In terms of skills, I learned how to turn a course into an experience, to complete an assignment and envision its end goal being beyond the grade.   In terms of the knowledge I gained, I learned about a sadly really corrupt system of medicine. I learned to deconstruct the assumption that science and empirical study are absolved of human judgement and biases. I learned that my ancestors were natural healers and my people are resilient. Every topic we studied this semester was something I had no previous awareness of, even though I've spent a lot of my life learning about civil rights and black struggles."
97351,"I learned how to effectively learn and take notes in a lecture class, this being my first ever large lecture."
97351,"How our entire medical system in the US was built upon the exploitation of black bodies, in so many ways that you could not even imagine until taking this course. should be required for all students, but especially pre-med."
97351,"I was extremely lucky to be able to take this course. I learned about the history of slavery that continues to perpetuate institutional systems within America. Examples of historical moments within this course include slavery, the creation of gynecology, and the GI Bill. This course completely flipped all the history courses I have taken during high school. American history is oftentimes whitewashed and Eurocentric and the histories of people of color are left unaddressed. Through this course, I learned how to be antiracist and how racial structures continue to kill lives."
97351,"This course provided me with foundational knowledge integral to understanding the barriers within and systems upholding our racist healthcare system today. I believe everyone should have to take this course, especially if they are entering the healthcare workforce, as it taught us to think critically about the structures and patters we see around us, and the history of slavery and its impact on medicine which still impacts patient care."
97351,Incredible insight into African American history
97351,learned many things but mostly about the ways american medicine was founded in slavery and how racism is still deeply entrenched in healthcare to this day
97351,"Through taking this course, you will gain a deep and well-rounded knowledge of medical racism in the United States. You will gain a good background in African American history through the lens of the medical field."
97351,Deeper understanding of black history in America and how the past heavily informs the present systems.
97351,I learned so so much about how racism is embedded into the healthcare system and how important it is to acknowledge this
97351,Learned so much about the history and intersection of medicine and healthcare.
97351,Great insight on African American history... fantastic teaching and sections
97351,"I learned about historical and current public health issues, racial disparities, and connections between now and the past."
97351,"I learned the disturbing, forgotten, important history of healthcare with regard to African-Americans."
97351,I learned more about the nuanced history of racism in medicine.
97351,I gained a lot of knowledge about critical thinking skills and using a historical perspective to make judgements on a lot of existing institutions.
97351,"An amazing course that takes a historical approach to understanding medical racism, tracing it from the beginnings of the slave trade to contemporary day. In engaging with this history, we learned not only an incredible amount of content but skills in historical analysis, research, and close reading."
97351,Combination of emotional and intellectual interests
97351,I learned so much history that I had never known about the development of American medicine and racial science and how they continue to affect the lives and health of Black Americans today
97351,In this course I learned a lot about history and AFAM history through the lens of health and health care. I learned how to think critically about these issues
97351,"This class unveils the reality of the deep roots of racism in American healthcare. It covered many topics surrounding medical misinformation, so you gain a greater sense of how important it is to challenge such ideas as they have a deep impact on the lives of others."
97351,"We relearned the history of African American people and how the centuries-long oppression and violence still continue to this day, particularly in the medical field."
97351,"this was the best class I have ever taken, I learned so much, the environment of the class was like nothing I had ever experienced."
97351,THE BEST COURSE EVER.
97351,"I learned a lot about healthcare disparities, the history that influences and in some cases dictates patients' diagnosis and treatment."
97351,"This class filled in many important gaps in my knowledge of history from general high school classes. I also learned generally how to think critically about scientific ""objectivity"" in its relation to racism and oppression."
97351,I learned about the depth of racism in medical context and everywhere. This is a very important class to take.
97351,History of medical care black Americans have received from the Atlantic Slave Trade to present-day. Focused on how to approach problem solving and solutions for centuries of injustices.
97351,"I developed a deep knowledge about the history of Black people in the United States, and how that has influenced healthcare and medicine."
97351,"I learned much about the inequality of healthcare, and as a white man, it was something I had not heard of before. The shocking truth is one that I believe everyone should know and understand."
97351,I learned how to look critically at the US medical system. I learned how to write lesson plans about sickness and health in US history.
97351,"the best class i have taken at yale, the most important class i have ever taken, and the most important material that exists in the world to learn. this would not be possible without the expertise and care that dr. roberts pours into this class."
97351,I learned a lot about african americans and the different pieces to the history of health.
97351,"I learned a lot about the racist history of the US, especially relating to the origins of medical practices and the healthcare system, and how it continues to inform present realities experienced by African Americans in very significant ways."
97351,"I learned a lot about this important history, which really hasnt been sufficiently covered even in other HSHM courses at Yale. I also learned so much from Professor Roberts, Who shifted not only my approach to history but to learning more generally."
97351,"A comprehensive overview on the systemic political, social, economic, and cultural barriers to equal healthcare as experienced in the past and present."
97381,"Excellent understanding of 19th century America: its political, social and culture atmosphere and its many discontents"
97381,"I learned a huge amount about the Civil War, including the 15 years before and 6 years following it. I learned of so many different perspectives from which the story could be told, read a tremendous amount of primary documents, and discovered that the Civil War is one area where it feels impossible to have an original take."
97381,Consuming a lot of historical info; contextualizing history
97381,"Somebody in a past evaluation said that you learn how to skim readings, which I agree with. You cannot do all the readings for this class; it is 200-300 pages a week of often quite dense material. So you have to learn how to get the information out of the readings that you need in the time you have. My suggestion is to prioritize McPherson and Foner so you understand the facts, and try to get to McCurry and Charles Dew (125 pages!), then go to the primary sources books only when you're writing your papers. Also, most of the books are available free online, so don't spend $200 buying books you'll barely read."
97381,"I learned so much about the Civil War and American History in general that, as an international student, was very interesting. After this course I kind of get the whole American patriotism and where the fundamental divisions in this country stem from. One of my favourite courses at Yale for sure!"
97381,"Primarily social and political perspective of the antebellum era, civil war, and reconstruction. Many new insights about the nuanced perspectives from soldiers to home front families to leaders. Interesting dive into the international perception/stakes of the war, particularly Britain, and related art/poetry."
97381,"Knowledge - deep levels of historical knowledge and proposed analyses of the antebellum, civil war, and reconstruction period Skills - understanding and analyzing historical information Insights - better understanding of our nation's history that shaped our current culture"
97381,This class is great if you want to learn how to combine the study of individuals with the broader study of a tumultuous time.
97381,I learned about civil war history
97381,Learned lots about the civil war and the USs history of slavery and racism. Learned a lot about different interpretations of the civil war and historiography. Learned how to write an essay about history.
97381,"Great lectures and reading about the causes of the civil war, the war itself, and reconstruction. All the lectures were great, we wrote two essays, and there was a final with good writing prompts."
97381,"Through this course, I learned in-depth about the years leading up to the Civil War, the war itself, and Reconstruction. The course especially deepened my knowledge of the social history of the Civil War, because much of the course focuses on the experiences of individuals instead of just the major figures discussed in textbooks, like Abraham Lincoln."
97381,"I learned how to critically analyze the Civil War, especially in its economic causes and efforts, as well as become a better writer of history."
97381,"I learned a lot about the antebellum era, the Civil War, and Reconstruction."
97381,"I learned a lot about the lead up to the civil war, the war itself, and reconstruction. I really enjoyed learning about northern and southern life during this time. I also appreciated how the course did not solely focus on military history."
97381,This class made me appreciate the whole civil war era much more than I had previously.
97381,"analytical reading and writing skills, abilities to read large amounts of material quickly"
97381,A history of the civil war & reconstruction era
97381,"A deeper understanding of the whole period, particularly the intellectual thought during it and historiography since. A lecture that surveys it, along with compelling readings and good discussion to delve deeper"
97381,"I got a general overview of the causes, course, and consequences of the Civil War in a way that was thorough, but not overwhelming. I learned to think about the causes of the Civil War more than before, and engaged with a lot of interesting texts."
97381,"Much more in-depth history of the Civil War, Reconstruction, and the surrounding context than before."
97381,"I gained a much deeper understanding of the historical currents that produced and shaped the Civil War and its aftermath. In particular, I achieved a much richer understanding of Reconstruction, which was only briefly covered in my APUSH course."
97381,"Civil war, historical themes, primary source analysis, secondary source analysis"
97381,I learned a lot of American history
97381,Deep knowledge on the civil war and reconstruction era
97381,"Comprehensive understanding of the causes of the Civil War, the fundamental differences between North and South, wartime dynamics, and the reconstruction era in shaping U.S. history today."
97381,"I developed skills in creating analytical arguments using first-person historical documents as well as secondary academic sources, with a particular focus on synthesizing evidence in order to refute or support arguments from course-assigned texts. This course enhanced my knowledge of the causes, effects, events, and historiography of the Civil War and Reconstruction periods. It allowed me to build upon my knowledge of not only political events, economic patterns, and battles relating to the period, but also social history, and the narratives of individuals who lived at the time."
97381,Historical writing
97381,"I learned a deep and thorough understanding of the Civil War---its causes, course, and consequences---as well as the process of historical memory, or the way in which we remember historical events in the public imagination."
97381,"Overview of the causes, conduct, and consequences of the Civil War era, with strong emphasis on the intricacies of events such as the processes of emancipation and the Civil War's impact on the American identity. If anything, the course provided me with a strong foundation of Civil War history and a look at the intricacies of Civil War and Reconstruction events that are often presented as monolithic in high school classes."
97381,"I feel like this course taught me a lot about what I don't know as a history major and what skills I need to improve on. A lot of this class was making big claims about overarching themes, which was something I wasn't used to. I also learned a pretty nuanced view of the Civil War that I hadn't had the opportunity to learn about before this class."
97381,"This has been the best course I have taken at Yale thus far. Professor Blight's lectures are engaging as well as fascinating. He does a wonderful job opening up the world of the Civil War & Reconstruction era to his students. This class's strengths are its Professor, teaching faculty, and material."
97381,A great grasp of the Civil War & Reconstruction!
97414,Learned about the history of South Africa from before colonization to now.
97414,I learned about a part of history I had never learned before. Fascinating course.
97414,Learned about the history of South Africa.
97414,A broad overview of South African history
97414,"This course was an incredible survey of South African history, from the beginning of Dutch colonisation in the 1600s, to the legacy of apartheid and state of politics today. Magaziner is one of the best lecturers I have ever had - he is a natural storyteller and makes the course like a narrative while keeping it intellectual and informative. We looked at a mix of primary sources as well as reading interesting autobiographies and novels which gives you a look at the period from many different angles. The workload is significant but not challenging if you keep on top of the readings and there is room to experiment with the essays and do creative versions of you ask in advance!"
97414,I learned about the history of South Africa that started when white settlers arrived on the countrys shores.
97414,"Critical analysis, organisation"
97414,I learnt an immense amount of knowledge about both contemporary and foundational history of South Africa.
97414,"Learned about colonization, segregation, apartheid, conflict, resistance in South Africa"
97414,"Knowledge about south african history in its many stages, the global impacts of south african history and the importance of its study, source analysis and researching skills."
97414,This course provided an interesting overview of South African history. The lecture is super engaging and professor Magaziner is a brilliant lecturer.
97414,"I learned about the history of South Africa from pre-colonial to the present, seeing both the oppression and the protest/resilience movements that emerged in response."
97414,"I learned a lot about South Africa, particularly about its earlier colonial history."
97414,A history of South Africa. An understanding of the history of the country and what that means for the future. How this impacted all groups of people in the past and the emotions and feelings behind it. Very impactful and very important.
97414,As someone who knew little to nothing about South African history I learned a tremendous amount. This is a very comprehensive and fast moving course spanning several centuries.
97414,"I took this course on a lark after I hated another course in my schedule during shopping period, and I am so glad I did! This was one of the best courses I have taken at Yale. We comprehensively covered South Africa history from the 1600s to present using a incredibly thoughtful selection of key events, places, and people to serve as illustrative case studies."
97414,"Through the lectures and course materials, I gained a critical, multidimensional survey of South African history. The lectures are extremely rich and in-depth."
97414,I learned so much about South African history in a way that cannot be replicated by reading through textbooks.
